,Unnamed: 0,Mô tả,text_cleaned
10,10,"lô đất đường 10.5m trần bạch đằng. hướng đông nam( khu trung tâm chính phố đi bộ an thượng ). ✅dt:180m2(10×18).✅ xung quanh toàn bộ nhà hàng, khách sạn,căn hộ, dịch vụ ✅ khu vực kinh doanh sầm uất ✅ gần biển✅ pháp lý rõ ràng  giá :44 tỷ thương lượng trực tiếp chủnhanh tay gọi sơn để được tư vấnbất động sản sơn trà land chuyên đất biển, khách sạn khu vực đà nẵng+ địa chỉ: hoàng sa dương thạc","lô đất đường 10.5m trần bạch đằng. hướng đông nam ( khu trung tâm chính phố đi bộ an thượng ). dt 180m2 (10 18). xung quanh toàn bộ nhà hàng, khách sạn, căn hộ, dịch vụ khu vực kinh doanh sầm uất gần biển pháp lý rõ ràng giá 44 tỷ thương lượng trực tiếp chủnhanh tay gọi sơn để được tư vấn bất động sản sơn trà land chuyên đất biển, khách sạn khu vực đà nẵng địa chỉ hoàng sa dương thạc"
11,11,"3 lô liền kề đường 7.5m lê quang đạo✅ hướng đông nam✅ gần đỗ bá✅ dt: 255m2(15×17)✅ xung quanh căn hộ dịch vụ ,du lịch sầm uất✅ sổ đỏ, pháp lý rõ ràng giá :36.5 tỷ liên hệ sơn để được tư vấn + địa chỉ: 2 mặt tiền hoàng sa- dương thạc","3 lô liền kề đường 7.5m lê quang đạo hướng đông nam gần đỗ bá dt 255m2 (15 17) xung quanh căn hộ dịch vụ ,du lịch sầm uất sổ đỏ, pháp lý rõ ràng giá 36.5 tỷ liên hệ sơn để được tư vấn địa chỉ 2 mặt tiền hoàng sa dương thạc"
12,12,"2 lô liền kề đường 11.5m phan tư, trục thông sát biển võ. nguyên giáp.✅ giá 30tỉ✅ dt:250m2(10×25). giá :120tr/1m2✅ vi trí siêu đẹp xây dựng nhà hàng, khách sạn căn hộ dịch vụ đảm bảo luôn luôn full khách✅ gần biển ,du lịch sầm uất✅ sổ đỏ, pháp lý rõ ràng.nhanh tay gọi sơn để được tư vấnbất động sản sơn trà land chuyên đất biển, khách sạn..+ địa chỉ: hoàng sa dương thạc","2 lô liền kề đường 11.5m phan tư, trục thông sát biển võ. nguyên giáp. giá 30tỉ dt 250m2 (10 25). giá 120tr/1m2 vi trí siêu đẹp xây dựng nhà hàng, khách sạn căn hộ dịch vụ đảm bảo luôn luôn full khách gần biển ,du lịch sầm uất sổ đỏ, pháp lý rõ ràng. nhanh tay gọi sơn để được tư vấn bất động sản sơn trà land chuyên đất biển, khách sạn.. địa chỉ hoàng sa dương thạc"
13,13,"bán lô đất diện tích maximum rộng góc 2 mặt tiền võ nguyên giáp + nguyễn huy chương ,sơn trà,đà nẵng:✅ diện tích: 2.700m2✅ hướng đông✅ view sát biển võ nguyên giáp ,xung quanh toàn bộ căn hộ dịch vụ , nhà hàng thuộc top vip thành phố đà nẵng✅ thích hợp xây dựng cao tầng ,✅ sổ đỏ, pháp lý rõ ràngliên hệ sơn tư vấn 24/24 đưa đón khách từ sân bay dẫn xem đất miễn phíbất động sản sơn trà land chuyên đất biển,căn hộ, khách sạn+ địa chỉ: 2 mặt tiền hoàng sa- dương thạc","bán lô đất diện tích maximum rộng góc 2 mặt tiền võ nguyên giáp nguyễn huy chương ,sơn trà, đà nẵng diện tích 2.700m2 hướng đông view sát biển võ nguyên giáp , xung quanh toàn bộ căn hộ dịch vụ , nhà hàng thuộc top vip thành phố đà nẵng thích hợp xây dựng cao tầng , sổ đỏ, pháp lý rõ ràng liên hệ sơn tư vấn 24/24 đưa đón khách từ sân bay dẫn xem đất miễn phí bất động sản sơn trà land chuyên đất biển, căn hộ, khách sạn địa chỉ 2 mặt tiền hoàng sa dương thạc"
14,14,"bán mặt tiền đinh đạt ,sơn trà,đà nẵng.✔️ dt: 92m2.✔️ hướng tây✔️ đường 7.5m ,lề 5m✔️ gần biển, trường,chợ ,khu du lịch sầm uất✔️ sổ đỏ, pháp lý rõ ràng✔️ giá: 7ti500nhanh tay gọi sơn để được tư vấnbất động sản sơn trà land chuyên bđs sơn trà+ địa chỉ: hoàng sa dương thạc","bán mặt tiền đinh đạt ,sơn trà, đà nẵng. dt 92m2. hướng tây đường 7.5m ,lề 5m gần biển, trường, chợ ,khu du lịch sầm uất sổ đỏ, pháp lý rõ ràng giá 7ti500 nhanh tay gọi sơn để được tư vấn bất động sản sơn trà land chuyên bđs sơn trà địa chỉ hoàng sa dương thạc"
15,15,"🏪🏪🏪 chốt giá 6,0tỷ. giá bán cho khách cọc trong tuần nay, nếu không bán được chủ sẽ ngưng bán ạ. ------------------🔰 nhà 4 tầng kiệt hà bổng, sơn trà, đà nẵng. 🔰thiết kế theo kiểu homestay với 8 phòng(đơn và đôi). full nội thất tivi, điều hoà mỗi phòng. nhà được tân trang hồi đầu năm 2021 nên còn rất mới. 📲📲 sơn","chốt giá 6,0tỷ. giá bán cho khách cọc trong tuần nay, nếu không bán được chủ sẽ ngưng bán ạ. nhà 4 tầng kiệt hà bổng, sơn trà, đà nẵng. thiết kế theo kiểu homestay với 8 phòng(đơn và đôi). full nội thất tivi, điều hoà mỗi phòng. nhà được tân trang hồi đầu năm 2021 nên còn rất mới. sơn"
16,16,"🏝bán vài lô rẻ hơn thị trường 20% 💰 lô chu huy mân đối diện âu thuyền : 8x20 : giá 6 tỷ xxx ( thích hợp làm kho xưởng và kinh doanh các dịch vụ cầu cảng).🏤trần nguyên hãn - đầu tuyến : 5x20 : giá 7 tỷ 100 ( view kênh, núi sơn trà - thích hợp xây căn hộ, hotel) liên hệ bds sơn trà giá tốt  xem đất và cọc.= nhận ký gửi mua bán cho thuê bds sơn trà=","bán vài lô rẻ hơn thị trường 20 lô chu huy mân đối diện âu thuyền 8 x 20 giá 6 tỷ x x x ( thích hợp làm kho xưởng và kinh doanh các dịch vụ cầu cảng). trần nguyên hãn đầu tuyến 5 x 20 giá 7 tỷ 100 ( view kênh, núi sơn trà thích hợp xây căn hộ, hotel) liên hệ bds sơn trà giá tốt xem đất và cọc. nhận ký gửi mua bán cho thuê bds sơn trà"
17,17,"bán 1 cặp nguyễn tất thành ,thanh khê tây ,thanh khê ,đà nẵng:----diện tích : 240m2 ,ngang 10m dài 24mhướng đônglô đẹp ,thích hợp xây căn hộ ,khách sạn, quá thích hợp...sổ đỏ,pháp lý rõ rànggiá : 96tr/m2 (23.040 ty)liên hệ sơn tư vấn ,cọc","bán 1 cặp nguyễn tất thành ,thanh khê tây ,thanh khê ,đà nẵng diện tích 240m2 ,ngang 10m dài 24m hướng đông lô đẹp ,thích hợp xây căn hộ ,khách sạn, quá thích hợp... sổ đỏ, pháp lý rõ ràng giá 96tr/m2 (23.040 ty) liên hệ sơn tư vấn ,cọc"
18,18,"bán lô đất mặt tiền chương dương ,sơn trà ,đà nẵng:----diện tích : 100m2 ngang 5m ,dài 20mhướng tây bắcthích hợp xây dựng căn hộ ,khách sạn ,tòa nhà văn phòng...sổ đỏ ,pháp lý rõ ràngdân cư văn minh ,sầm uấtgiá :13ty thương lượngliên hệ sơn chở đi xem đất ,chở tới nhà chủ đặt cọc","bán lô đất mặt tiền chương dương ,sơn trà ,đà nẵng diện tích 100m2 ngang 5m ,dài 20m hướng tây bắc thích hợp xây dựng căn hộ ,khách sạn ,tòa nhà văn phòng... sổ đỏ ,pháp lý rõ ràng dân cư văn minh ,sầm uất giá 13ty thương lượng liên hệ sơn chở đi xem đất ,chở tới nhà chủ đặt cọc"
19,19,"bán 588m2 đất mặt tiền nguyễn văn linh , nam dương ,hải châu ,sơn trà ,đà nẵng:---- diện tích : 588m2  ngang 17.5m2- là tuyến đường sầm uất ,trọng điểm của các trung tâm thương mại, thương hiệu thời trang đẳng cấp ,ẩm thực nổi tiếng, coffee ...- vị trí : gần cầu rồng ,view kết nối giữa biển và tttp.- sổ đỏ ,pháp lý rõ ràng.- giá: 320tr/m2( tương đương 188.2 ty)liên hệ sơn tư vấn ,xem đất ,deal giá","bán 588m2 đất mặt tiền nguyễn văn linh , nam dương ,hải châu ,sơn trà ,đà nẵng diện tích 588m2 ngang 17.5m2 là tuyến đường sầm uất ,trọng điểm của các trung tâm thương mại, thương hiệu thời trang đẳng cấp ,ẩm thực nổi tiếng, coffee ... vị trí gần cầu rồng ,view kết nối giữa biển và tttp. sổ đỏ ,pháp lý rõ ràng. giá 320tr/m2 ( tương đương 188.2 ty) liên hệ sơn tư vấn , xem đất ,deal giá"
20,20,"bán biệt thự 3 tầng 2 mặt tiền đường bằng lăng 2 khu biệt thự làng châu-  euro village 1+ diện tích đất là 250 m2 chiều rộng 10m và chiều dài 25m. thiết kế 1 sân để xe, sân vườn, phòng khách, bếp, 4 phòng ngủ, 5wc, phòng thờ sân phơi, nội thất đẹp…- 2 đường đều rộng 7m5 đường mát nhất khu+ hướng view ra sông hàn  ( xem bắn pháp hoa đúng đẹp)khu dân cư cực vip, hội tụ toàn giới vip. đẳng cấp châu âukhông gian thoáng mát, an ninh trực bảo vệ 24/24h với 3 chốt bảo vệ cổng.+ giá rẻ nhất khu là: 27,9 tỷ đồng.+ sổ hồng chính chủ* ac thiện chí mua xin liên hệ sơn tư vấn","bán biệt thự 3 tầng 2 mặt tiền đường bằng lăng 2 khu biệt thự làng châu euro village 1 diện tích đất là 250 m2 chiều rộng 10m và chiều dài 25m. thiết kế 1 sân để xe, sân vườn, phòng khách, bếp, 4 phòng ngủ, 5wc, phòng thờ sân phơi, nội thất đẹp... 2 đường đều rộng 7m5 đường mát nhất khu hướng view ra sông hàn ( xem bắn pháp hoa đúng đẹp) khu dân cư cực vip, hội tụ toàn giới vip. đẳng cấp châu âu không gian thoáng mát, an ninh trực bảo vệ 24/24h với 3 chốt bảo vệ cổng. giá rẻ nhất khu là 27,9 tỷ đồng. sổ hồng chính chủ * ac thiện chí mua xin liên hệ sơn tư vấn"
21,21,"bán đất biệt thự vân đồn - nại hiên đông - sơn trà.đường 15 m lề 6m - thông trần hưng đạo và chu huy mân.dt 300 m²ngang 10m.hướng đông nam.vị trí khu dân trí nhà cao tầng, kinh doanh buôn bán.vị trí xây dựng biệt thự đẹp khỏi bàn.giá 13 tỷ.liên hệ sơn tư vấnvp 3 mặt tiền vũ ngọc nhạ","bán đất biệt thự vân đồn nại hiên đông sơn trà.đường 15 m lề 6m thông trần hưng đạo và chu huy mân. dt 300 m2 ngang 10m. hướng đông nam. vị trí khu dân trí nhà cao tầng, kinh doanh buôn bán. vị trí xây dựng biệt thự đẹp khỏi bàn. giá 13 tỷ. liên hệ sơn tư vấn vp 3 mặt tiền vũ ngọc nhạ"
22,22,"bán lô đất nguyễn hữu an ,nại hiên đông ,sơn trà ,đà nẵng:---- diện tích: 180m2 (ngang 10 dài 18) ,vuông vứt- hướng đông nam mát mẻ ,view sông hữu tình- thích hợp xây nhà ở ,đầu tư đều được- yên tĩnh- giá 55tr/m2liên hệ sơn tư vấn vp 2 mặt tiền vũ ngọc nhạ ,thọ quang","bán lô đất nguyễn hữu an ,nại hiên đông ,sơn trà ,đà nẵng diện tích 180m2 (ngang 10 dài 18) ,vuông vứt hướng đông nam mát mẻ ,view sông hữu tình thích hợp xây nhà ở ,đầu tư đều được yên tĩnh giá 55tr/m2 liên hệ sơn tư vấn vp 2 mặt tiền vũ ngọc nhạ ,thọ quang"
23,23,"bán đất đường 5m  lương thế vinh, sơn trà ,đà nẵng:245m2 ngang 8.4 vuôngthích hợp xây dựng  căn hộ ,khách sạn sổ đỏ,pháp lý rõ ràngdân cư văn minh, văn hóa caobân nhanh 36tr/m2alo sơn dẫn xem đất","bán đất đường 5m lương thế vinh, sơn trà ,đà nẵng 245m2 ngang 8.4 vuông thích hợp xây dựng căn hộ ,khách sạn sổ đỏ, pháp lý rõ ràng dân cư văn minh, văn hóa cao bân nhanh 36tr/m2alo sơn dẫn xem đất"
24,24,"bán gấp lô đất mt đường 10m5 đường văn tiến dũng đoạn gần dự án cmc, hòa xuân, cẩm lệ- diện tích 100m2 (5x20) - hướng đông, lô sạch đẹp - vị trí mt đường 10m5, lề 5m, là trục đường huyết mạch của hòa xuân, lưu lượng xe di chuyển nhiều, gần khu quy hoạch dự án không gian sáng tạo cmc, gần trường học, tiềm năng cao.- giá đầu tư  3,4 tỷ có thương lượng  (bán đến cc)- lh zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng+ pkd1: 12 vũ văn dũng, sơn trà.+ pkd2: trục shophouse kđt fpt nhs","bán gấp lô đất mt đường 10m5 đường văn tiến dũng đoạn gần dự án cmc, hòa xuân, cẩm lệ diện tích 100m2 (5 x 20) hướng đông, lô sạch đẹp vị trí mt đường 10m5, lề 5m, là trục đường huyết mạch của hòa xuân, lưu lượng xe di chuyển nhiều, gần khu quy hoạch dự án không gian sáng tạo cmc, gần trường học, tiềm năng cao. giá đầu tư 3,4 tỷ có thương lượng (bán đến cc) lh zalo/call bđs newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà. pkd2 trục shophouse kđt fpt nhs"
25,25,"bán lô đất đường mỹ đa tây 10, nam việt á, khuê mỹ, ngũ hành sơn- diện tích: 85m2 (5x17) - hướng: đông bắc- vị trí: đường 5m5 lề 3m, gần trần hữu độ , tuyến đường nhiều nhà đẹp, dân cư thân thiện phù hợp mua ở gia đình.- giá bán đến công chứng 3,3 tỷ có thương lượng- liên hệ:  zalo/callbất động sản newlands chuyên nhà đất thổ cư đà nẵng+ pkd1: 12 vũ văn dũng, sơn trà+ pkd2: trục shophouse kđt fpt nhs","bán lô đất đường mỹ đa tây 10, nam việt á, khuê mỹ, ngũ hành sơn diện tích 85m2 (5 x 17) hướng đông bắc vị trí đường 5m5 lề 3m, gần trần hữu độ , tuyến đường nhiều nhà đẹp, dân cư thân thiện phù hợp mua ở gia đình. giá bán đến công chứng 3,3 tỷ có thương lượng liên hệ zalo/call bất động sản newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà pkd2 trục shophouse kđt fpt nhs"
26,26,"bán lô đất vip 1000m2 - 2 mặt tiền đường bạch đằng - view trực diện sông hàn quận hải châu, đà nẵng. giá chỉ 139tr/m2 phù hợp đầu tư sinh lời.+ diện tích gần 1000m2(19x53). đất vuông vứt. + hướng đông + vị trí: 2 mặt tiền trước sau đường bạch đằng, quận hải châu đường 15m, view sông hàn nhìn qua khu đảo xanh, tuyến đường sầm uất kinh doanh tốt nhiều nhà hàng, mặt tiền đường phía sau 5m5 + gần cầu trần thị lý, khu vui chơi helio, vòng quay mặt trời sun wheel của tập đoàn sungroup, công viên apec...+ sổ sách pháp lý rõ ràng+ giá bán 139 tỷ, có thương lượng chính chủ. - lh: zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng vpkd1: 12 vũ văn dũng, sơn trà vpkd2: trục shophouse kđt fpt nhs","bán lô đất vip 1000m2 2 mặt tiền đường bạch đằng view trực diện sông hàn quận hải châu, đà nẵng. giá chỉ 139tr/m2 phù hợp đầu tư sinh lời. diện tích gần 1000m2 (19 x 53). đất vuông vứt. hướng đông vị trí 2 mặt tiền trước sau đường bạch đằng, quận hải châu đường 15m, view sông hàn nhìn qua khu đảo xanh, tuyến đường sầm uất kinh doanh tốt nhiều nhà hàng, mặt tiền đường phía sau 5m5 gần cầu trần thị lý, khu vui chơi helio, vòng quay mặt trời sun wheel của tập đoàn sungroup, công viên apec... sổ sách pháp lý rõ ràng giá bán 139 tỷ, có thương lượng chính chủ. lh zalo/call bđs newlands chuyên nhà đất thổ cư đà nẵng vpkd1 12 vũ văn dũng, sơn trà vpkd2 trục shophouse kđt fpt nhs"
27,27,"bán nhà 2 tầng mới đường hưng hoá gần lê thanh nghị, hoà cường nam, hải châu- diện tích: 74 m² (4 x 18.5m). - đường 5m5 lề 3m, hướng tây bắc- nhà gác đúc mới xây hơn 1 năm gồm 4 phòng ngủ, 2 vệ sinh, phòng khách, bếp.- khu dân cư văn minh, yên tĩnh, tiện ích xung quanh rất đầy đủ.- vị trí: gần ngay lê thanh nghị, xô viết nghệ tĩnh. gần nhiều trường học như đh ngoại ngữ, đh đông á, đh kiến trúc...- giá bán đến công chứng: 4,55 tỷ (có tl)liên hệ: (zalo/call)bđs newlands chuyên nhà đất thổ cư đà nẵng+ pkd1: 12 vũ văn dũng, sơn trà.+ pkd2: trục shophouse fpt, ngũ hành sơn.","bán nhà 2 tầng mới đường hưng hoá gần lê thanh nghị, hoà cường nam, hải châu diện tích 74 m2 (4 x 18.5m). đường 5m5 lề 3m, hướng tây bắc nhà gác đúc mới xây hơn 1 năm gồm 4 phòng ngủ, 2 vệ sinh, phòng khách, bếp. khu dân cư văn minh, yên tĩnh, tiện ích xung quanh rất đầy đủ. vị trí gần ngay lê thanh nghị, xô viết nghệ tĩnh. gần nhiều trường học như đh ngoại ngữ, đh đông á, đh kiến trúc... giá bán đến công chứng 4,55 tỷ (có tl) liên hệ (zalo/call) bđs newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà. pkd2 trục shophouse fpt, ngũ hành sơn."
