,Unnamed: 0,Mô tả,text_cleaned
0,0,"đất mặt tiền đuòng 5m5 dương lâmdt 115m (5×23) hướng tây nam giá 3ty900gần trường chợ đi đâu cũng tiệnnhanh taysổ đỏ ,pháp lý rõ ràngdân cư văn minh ,an ninhthích hợp ở đầu tưgặp chủ làm việc","đất mặt tiền đuòng 5m5 dương lâm dt 115m (5 23) hướng tây nam giá 3ty900 gần trường chợ đi đâu cũng tiện nhanh tay sổ đỏ ,pháp lý rõ ràng dân cư văn minh ,an ninh thích hợp ở đầu tư gặp chủ làm việc"
1,1,"bán đất tặng nhà c4 mặt tiền 5m5 cổ mân 3 phường mân thái _ quận sơn trà _ tpđnvị trí đối diện công viên , khu dân trí cao dtđ : 90m ( hướng nam )sổ đỏ ,pháp lý rõ ràngdân cư văn minh ,an ninhthích hợp ở ,đầu tưgiá : 3tỷ650liên hệ sơn tư vấn","bán đất tặng nhà c4 mặt tiền 5m5 cổ mân 3 phường mân thái quận sơn trà tp đn vị trí đối diện công viên , khu dân trí cao dtđ 90m ( hướng nam )sổ đỏ ,pháp lý rõ ràng dân cư văn minh ,an ninh thích hợp ở ,đầu tư giá 3tỷ650 liên hệ sơn tư vấn"
2,2,"bán đất tặng 2 căn nhà 3 tầng mặt tiền 10m5lê tấn trung  , p. thọ quang , q. sơn trà 2 căn 3 tầng chung sổ , gồm 4pn , 3wc , pthovị trí vừa ở và kinh doanh buôn bán thuận lợidtđ : 97m ngang 7m ( hướng đông nam )giá : 6tỷ6lh : kim phụng tư vấn","bán đất tặng 2 căn nhà 3 tầng mặt tiền 10m5 lê tấn trung , p. thọ quang , q. sơn trà 2 căn 3 tầng chung sổ , gồm 4pn , 3wc , ptho vị trí vừa ở và kinh doanh buôn bán thuận lợi dtđ 97m ngang 7m ( hướng đông nam ) giá 6tỷ6 lh kim phụng tư vấn"
3,3,"bán nhà 3 tầng mặt tiền 5m5 nguyễn hiền phường nại hiên đông _ quận sơn trà _ tpđncông năng gồm 4pn , 3wc , ptho , full nội thấtsổ đỏ ,pháp lý rõ rànggần trường ,chợdtđ : 72m ( hướng đông bắc )giá : 4tỷ","bán nhà 3 tầng mặt tiền 5m5 nguyễn hiền phường nại hiên đông quận sơn trà tp đn công năng gồm 4pn , 3wc , ptho , full nội thất sổ đỏ ,pháp lý rõ ràng gần trường ,chợ dtđ 72m ( hướng đông bắc ) giá 4tỷ"
4,4,"bán lô đất đẹp mặt tiền đường nguyễn xiển, p. khuê mỹ, ngũ hành sơn.- đường 7m5, vỉa hè 4,5m.- diện tích: 5x19,5m= 97,5m²- hướng đông bắc, lô sạch đẹp.- ngay khu bãi tắm sơn thuỷ, vị trí đẹp nằm đoạn giữa hoàng trọng mậu và đường minh mạng, sát tthc quận ngũ hành sơn.- khu dân cư hiện hữu gần biển các tiện ích đầy đủ rất thích hợp mua đầu tư dài hạn hoặc xây ở định cư.- giá bán đến công chứng: 4,150 tỷ (thương lượng) giá cũ 4,7 tỷ- liên hệ xem đất:   call/zalo.bất động sản newlands chuyên nhà đất thổ cư đà nẵng+ pkd1: 12 vũ văn dũng, sơn trà+ pkd2: trục shophouse fpt, ngũ hành sơn.","bán lô đất đẹp mặt tiền đường nguyễn xiển, p. khuê mỹ, ngũ hành sơn. đường 7m5, vỉa hè 4,5m. diện tích 5 x 19,5m 97,5m2 hướng đông bắc, lô sạch đẹp. ngay khu bãi tắm sơn thuỷ, vị trí đẹp nằm đoạn giữa hoàng trọng mậu và đường minh mạng, sát tthc quận ngũ hành sơn. khu dân cư hiện hữu gần biển các tiện ích đầy đủ rất thích hợp mua đầu tư dài hạn hoặc xây ở định cư. giá bán đến công chứng 4,150 tỷ (thương lượng) giá cũ 4,7 tỷ liên hệ xem đất call/zalo. bất động sản newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà pkd2 trục shophouse fpt, ngũ hành sơn."
5,5,"bán rẻ lô đất 2 mặt tiền chương dương đối diện sông hàn, gần cầu trần thị lý, đối diện sông hàn, sun wheel công viên châu á- diện tích: 100m2(5*20m). hướng tây.- vị trí đẹp 2 mặt tiền đường chương dương và đường oto 5m, đoạn gần cầu trần thị lý, đối diện sun wheel, cv châu á, đoạn kinh doanh tốt, phù hợp làm khách sạn, căn hộ, đầu tư🍀- giá rẻ chỉ 15 tỷ có thương lượng bán đến công chứng☎️- lh:  call/zalo","bán rẻ lô đất 2 mặt tiền chương dương đối diện sông hàn, gần cầu trần thị lý, đối diện sông hàn, sun wheel công viên châu á diện tích 100m2 (5 * 20m). hướng tây. vị trí đẹp 2 mặt tiền đường chương dương và đường oto 5m, đoạn gần cầu trần thị lý, đối diện sun wheel, cv châu á, đoạn kinh doanh tốt, phù hợp làm khách sạn, căn hộ, đầu tư giá rẻ chỉ 15 tỷ có thương lượng bán đến công chứng lh call/zalo"
6,6,"bán tòa khách sạn, căn hộ 6 tầng 2 mặt tiền đường 10m5 và đường 7m5 - khu biển mỹ khê (phạm văn đồng) - cách biển 400m- dt đất: 197m2 (13x15)- huóng tây bắc và đông nam- công năng tòa 6 tầng gồm 20 phòng căn hộ loại 1pn, đầy đủ nội thất đẹp, thiết kế hiện đại, mặt bằng kinh doanh tầng 1. tòa đanh kinh doanh vận hành, doanh thu hiện trên 100tr/th- vị trí: 2mt đường 10m5 lề 6m và đường 7m5, khu vực kinh doanh nhiều nhà hàng, khách sạn nằm ngay gần đường phạm văn đồng. cách biển mỹ khê tầm 400m- giá bán tới công chứng: 34 tỷ có tl- hồ sơ pháp lý đầy đủ- liên hệ: zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng + pkd1: 12 vũ văn dũng, sơn trà.+ pkd2:trục shophouse kđt fpt nhs","bán tòa khách sạn, căn hộ 6 tầng 2 mặt tiền đường 10m5 và đường 7m5 khu biển mỹ khê (phạm văn đồng) cách biển 400m dt đất 197m2 (13 x 15) huóng tây bắc và đông nam công năng tòa 6 tầng gồm 20 phòng căn hộ loại 1pn, đầy đủ nội thất đẹp, thiết kế hiện đại, mặt bằng kinh doanh tầng 1. tòa đanh kinh doanh vận hành, doanh thu hiện trên 100tr/th vị trí 2mt đường 10m5 lề 6m và đường 7m5, khu vực kinh doanh nhiều nhà hàng, khách sạn nằm ngay gần đường phạm văn đồng. cách biển mỹ khê tầm 400m giá bán tới công chứng 34 tỷ có tl hồ sơ pháp lý đầy đủ liên hệ zalo/call bđs newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà. pkd2 trục shophouse kđt fpt nhs"
7,7,"bán gấp khách sạn 3 sao, 12 tầng, 34 phòng, có hồ bơi, 2 mặt tiền đường trần bạch đằng - phan tôn, ngay sau khách sạn mường thanh, cách biển mỹ khê 100m- dt đất 155m2 (9x18)- khách sạn 3 sao, 12 tầng có hồ bơi, gồm mặt bằng kinh doanh, 34 phòng khách sạn nội thất đẹp, thiết kế hiện đại chuẩn 3 sao- vị trí đắc địa: 2 mặt tiền đường 10m5 trần bạch đằng và đường 7m5 phan tôn, ngay sau khách sạn mường thanh đi bộ ra biển mỹ khê chỉ 2 phút, tuyến đường sầm uất, nằm trong khu phố du lịch an thượng, kinh lưu trú cực tốt- giá bán gấp đến công chứng 55 tỷ- lh: zalo/call","bán gấp khách sạn 3 sao, 12 tầng, 34 phòng, có hồ bơi, 2 mặt tiền đường trần bạch đằng phan tôn, ngay sau khách sạn mường thanh, cách biển mỹ khê 100m dt đất 155m2 (9 x 18) khách sạn 3 sao, 12 tầng có hồ bơi, gồm mặt bằng kinh doanh, 34 phòng khách sạn nội thất đẹp, thiết kế hiện đại chuẩn 3 sao vị trí đắc địa 2 mặt tiền đường 10m5 trần bạch đằng và đường 7m5 phan tôn, ngay sau khách sạn mường thanh đi bộ ra biển mỹ khê chỉ 2 phút, tuyến đường sầm uất, nằm trong khu phố du lịch an thượng, kinh lưu trú cực tốt giá bán gấp đến công chứng 55 tỷ lh zalo/call"
8,8,"bán khách sạn 3 sao 11 tầng - 50 phòng mt đường dương đình nghệ - cách biển mỹ khê 200m--------------------- vị trí: đường dương đình nghệ- diện tích đất: 180m2 ngang 9m- gồm 50 phòng và 11 tầng, full nội thất, khách sạn đẹp, thiết kế hiện đại- các dịch vụ tiện ích đi kèm như: phòng gym, spa….- nằm trên trục đường chính khu vực biển mỹ khê, cách biển mỹ khê, công viên biển đông chỉ 200m, khu du lịch phố hàn quốc, trung tâm sơn trà, vị trí kinh doanh lưu trú tốt- đang cho thuê 140 triệu/ tháng-giá bán mới: 50 tỷ (giá cũ 60 tỷ)- lh: zalo/call","bán khách sạn 3 sao 11 tầng 50 phòng mt đường dương đình nghệ cách biển mỹ khê 200m vị trí đường dương đình nghệ diện tích đất 180m2 ngang 9m gồm 50 phòng và 11 tầng, full nội thất, khách sạn đẹp, thiết kế hiện đại các dịch vụ tiện ích đi kèm như phòng gym, spa.... nằm trên trục đường chính khu vực biển mỹ khê, cách biển mỹ khê, công viên biển đông chỉ 200m, khu du lịch phố hàn quốc, trung tâm sơn trà, vị trí kinh doanh lưu trú tốt đang cho thuê 140 triệu/ tháng giá bán mới 50 tỷ (giá cũ 60 tỷ) lh zalo/call"
9,9,"bán nhà 2 tầng mặt tiền ngô quyền,thọ quang,sơn trà,đà nẵng:✔️ dt: 101m2 ( 5*20)✔️ hướng đông✔️ công năng; 2 tầng + 3pn + 2wc + 1pk + 1pb...✔️ gần trường,chợ ,ăn uống,mua sắm kinh doanh sầm uất✔️ sổ đỏ , pháp lý rõ rànggiá: 7tỉ ( thương lượng chính chủ)call/zalo: sơn tư vấn 24/7bất động sản sơn trà land chuyên đất biển, khách sạn,căn hộ...+ đc: hoàng sa- dương thạc","bán nhà 2 tầng mặt tiền ngô quyền,thọ quang, sơn trà, đà nẵng dt 101m2 ( 5 * 20) hướng đông công năng 2 tầng 3pn 2wc 1pk 1pb... gần trường, chợ , ăn uống, mua sắm kinh doanh sầm uất sổ đỏ , pháp lý rõ ràng giá 7tỉ ( thương lượng chính chủ) call/zalo sơn tư vấn 24/7 bất động sản sơn trà land chuyên đất biển, khách sạn, căn hộ... đc hoàng sa dương thạc"
